,src,des,total
0.0.0.0/24,0,175,175
10.0.0.0/24,0,1580,1580
10.0.11.0/24,0,94983,94983
10.0.8.0/24,0,10,10
10.1.1.0/24,0,132495,132495
10.1.100.0/24,3006,671795,674801
10.1.104.0/24,70068,179737,249805
10.12.0.0/24,0,44,44
10.12.1.0/24,16190105,110237408,126427513
10.12.10.0/24,2212677,460885,2673562
10.12.100.0/24,0,24865,24865
10.12.105.0/24,191652,4,191656
10.12.106.0/24,789152,87818,876970
10.12.107.0/24,1479028,280369,1759397
10.12.11.0/24,0,14378,14378
10.12.110.0/24,0,59860,59860
10.12.12.0/24,0,23764,23764
10.12.16.0/24,1230810,103507,1334317
10.12.2.0/24,1750446,2316869,4067315
10.12.20.0/24,2572466,534788,3107254
10.12.200.0/24,1292883,618720,1911603
10.12.204.0/24,0,678076,678076
10.12.208.0/24,0,387887,387887
10.12.24.0/24,1522677,186241,1708918
10.12.28.0/24,2542606,197396,2740002
10.12.3.0/24,925692,1042169,1967861
10.12.32.0/24,1841209,354060,2195269
10.12.36.0/24,3065080,361076,3426156
10.12.4.0/24,0,31,31
10.12.40.0/24,12501,734312,746813
10.12.41.0/24,7266272,388109,7654381
10.12.42.0/24,2604961,128373,2733334
10.12.43.0/24,0,7400,7400
10.12.44.0/24,17430604,4965976,22396580
10.12.45.0/24,10584785,2197758,12782543
10.12.46.0/24,0,22475,22475
10.12.47.0/24,0,22444,22444
10.12.48.0/24,3891753,189295,4081048
10.12.49.0/24,7747646,269329,8016975
10.12.50.0/24,0,7421,7421
10.12.51.0/24,0,9907,9907
10.12.52.0/24,3714609,620521,4335130
10.12.56.0/24,994572,49420,1043992
10.12.60.0/24,7467312,2302158,9769470
10.12.64.0/24,759252,52720,811972
10.12.68.0/24,1571871,295481,1867352
10.12.69.0/24,0,26778,26778
10.12.70.0/24,6,29895,29901
10.12.71.0/24,6596,22280,28876
10.12.72.0/24,1246232,332203,1578435
10.12.75.0/24,4,34698,34702
10.12.76.0/24,6,35419,35425
