src_IP,des_IP,count_re
10.1.100.0/24,10.12.1.0/24,115
10.1.104.0/24,10.12.1.0/24,381
10.12.1.0/24,10.0.11.0/24,14922
10.12.1.0/24,10.1.1.0/24,3183
10.12.1.0/24,10.1.100.0/24,90639
10.12.1.0/24,10.1.104.0/24,12180
10.12.1.0/24,10.12.1.0/24,125113
10.12.1.0/24,10.12.10.0/24,47563
10.12.1.0/24,10.12.100.0/24,5116
10.12.1.0/24,10.12.106.0/24,22720
10.12.1.0/24,10.12.107.0/24,73778
10.12.1.0/24,10.12.110.0/24,8707
10.12.1.0/24,10.12.12.0/24,3265
10.12.1.0/24,10.12.16.0/24,12730
10.12.1.0/24,10.12.2.0/24,479661
10.12.1.0/24,10.12.20.0/24,36720
10.12.1.0/24,10.12.200.0/24,16412
10.12.1.0/24,10.12.204.0/24,1095
10.12.1.0/24,10.12.208.0/24,11368
10.12.1.0/24,10.12.24.0/24,24280
10.12.1.0/24,10.12.28.0/24,26364
10.12.1.0/24,10.12.3.0/24,38554
10.12.1.0/24,10.12.32.0/24,26554
10.12.1.0/24,10.12.36.0/24,24945
10.12.1.0/24,10.12.40.0/24,150522
10.12.1.0/24,10.12.41.0/24,61323
10.12.1.0/24,10.12.42.0/24,20727
10.12.1.0/24,10.12.43.0/24,1079
10.12.1.0/24,10.12.44.0/24,180757
10.12.1.0/24,10.12.45.0/24,142142
10.12.1.0/24,10.12.46.0/24,3266
10.12.1.0/24,10.12.47.0/24,3265
10.12.1.0/24,10.12.48.0/24,33304
10.12.1.0/24,10.12.49.0/24,42663
10.12.1.0/24,10.12.50.0/24,1078
10.12.1.0/24,10.12.51.0/24,1655
10.12.1.0/24,10.12.52.0/24,50241
10.12.1.0/24,10.12.56.0/24,9008
10.12.1.0/24,10.12.60.0/24,82956
10.12.1.0/24,10.12.64.0/24,9177
10.12.1.0/24,10.12.68.0/24,42464
10.12.1.0/24,10.12.69.0/24,4203
10.12.1.0/24,10.12.70.0/24,4342
10.12.1.0/24,10.12.71.0/24,3240
10.12.1.0/24,10.12.72.0/24,19682
10.12.1.0/24,10.12.75.0/24,5470
10.12.1.0/24,10.12.76.0/24,5754
10.12.1.0/24,10.12.77.0/24,23489
10.12.1.0/24,10.12.78.0/24,577
10.12.1.0/24,10.12.8.0/24,33851
10.12.1.0/24,10.12.80.0/24,88678
10.12.1.0/24,10.12.81.0/24,39345
10.12.1.0/24,10.12.84.0/24,37689
10.12.1.0/24,10.12.85.0/24,135953
10.12.1.0/24,10.12.86.0/24,29808
10.12.1.0/24,10.12.87.0/24,85821
10.12.1.0/24,10.12.88.0/24,143433
10.12.1.0/24,10.12.89.0/24,1092
10.12.1.0/24,10.12.9.0/24,6147
10.12.1.0/24,10.12.90.0/24,39830
10.12.1.0/24,10.12.91.0/24,51200
10.12.1.0/24,10.12.92.0/24,29291
10.12.1.0/24,10.13.1.0/24,1011
10.12.1.0/24,10.13.10.0/24,1143
10.12.1.0/24,10.13.11.0/24,307
10.12.1.0/24,10.13.12.0/24,185
10.12.1.0/24,10.13.129.0/24,1644
10.12.1.0/24,10.13.13.0/24,1083
10.12.1.0/24,10.13.131.0/24,4366
10.12.1.0/24,10.13.132.0/24,3070
10.12.1.0/24,10.13.133.0/24,1358
10.12.1.0/24,10.13.134.0/24,249
10.12.1.0/24,10.13.135.0/24,123
10.12.1.0/24,10.13.136.0/24,753
10.12.1.0/24,10.13.137.0/24,178
10.12.1.0/24,10.13.138.0/24,1194
10.12.1.0/24,10.13.139.0/24,1179
10.12.1.0/24,10.13.140.0/24,448
10.12.1.0/24,10.13.18.0/24,25
10.12.1.0/24,10.13.19.0/24,236
10.12.1.0/24,10.13.2.0/24,5
