src_IP,des_IP,count_re
10.1.100.0/24,10.12.1.0/24,781
10.1.100.0/24,10.12.20.0/24,2225
10.1.104.0/24,10.12.1.0/24,70068
10.12.1.0/24,10.0.11.0/24,94983
10.12.1.0/24,10.1.1.0/24,21342
10.12.1.0/24,10.1.100.0/24,658652
10.12.1.0/24,10.1.104.0/24,179667
10.12.1.0/24,10.12.1.0/24,855865
10.12.1.0/24,10.12.10.0/24,224222
10.12.1.0/24,10.12.100.0/24,24865
10.12.1.0/24,10.12.105.0/24,4
10.12.1.0/24,10.12.106.0/24,87818
10.12.1.0/24,10.12.107.0/24,280366
10.12.1.0/24,10.12.110.0/24,59860
10.12.1.0/24,10.12.12.0/24,22429
10.12.1.0/24,10.12.16.0/24,71641
10.12.1.0/24,10.12.2.0/24,2315973
10.12.1.0/24,10.12.20.0/24,188510
10.12.1.0/24,10.12.200.0/24,112860
10.12.1.0/24,10.12.204.0/24,7537
10.12.1.0/24,10.12.208.0/24,52253
10.12.1.0/24,10.12.24.0/24,125698
10.12.1.0/24,10.12.28.0/24,132051
10.12.1.0/24,10.12.3.0/24,263660
10.12.1.0/24,10.12.32.0/24,139659
10.12.1.0/24,10.12.36.0/24,148797
10.12.1.0/24,10.12.40.0/24,734312
10.12.1.0/24,10.12.41.0/24,388109
10.12.1.0/24,10.12.42.0/24,128371
10.12.1.0/24,10.12.43.0/24,7400
10.12.1.0/24,10.12.44.0/24,990504
10.12.1.0/24,10.12.45.0/24,715578
10.12.1.0/24,10.12.46.0/24,22475
10.12.1.0/24,10.12.47.0/24,22444
10.12.1.0/24,10.12.48.0/24,188664
10.12.1.0/24,10.12.49.0/24,269329
10.12.1.0/24,10.12.50.0/24,7421
10.12.1.0/24,10.12.51.0/24,9907
10.12.1.0/24,10.12.52.0/24,259806
10.12.1.0/24,10.12.56.0/24,49420
10.12.1.0/24,10.12.60.0/24,408878
10.12.1.0/24,10.12.64.0/24,52720
10.12.1.0/24,10.12.68.0/24,209283
10.12.1.0/24,10.12.69.0/24,26778
10.12.1.0/24,10.12.70.0/24,29895
10.12.1.0/24,10.12.71.0/24,22280
10.12.1.0/24,10.12.72.0/24,161582
10.12.1.0/24,10.12.75.0/24,34698
10.12.1.0/24,10.12.76.0/24,35419
10.12.1.0/24,10.12.77.0/24,125304
10.12.1.0/24,10.12.78.0/24,2499
10.12.1.0/24,10.12.8.0/24,177907
10.12.1.0/24,10.12.80.0/24,588629
10.12.1.0/24,10.12.81.0/24,255452
10.12.1.0/24,10.12.84.0/24,171258
10.12.1.0/24,10.12.85.0/24,662476
10.12.1.0/24,10.12.86.0/24,144103
10.12.1.0/24,10.12.87.0/24,427638
10.12.1.0/24,10.12.88.0/24,892916
10.12.1.0/24,10.12.89.0/24,7531
10.12.1.0/24,10.12.9.0/24,34937
10.12.1.0/24,10.12.90.0/24,229380
10.12.1.0/24,10.12.91.0/24,342203
10.12.1.0/24,10.12.92.0/24,196648
10.12.1.0/24,10.13.1.0/24,6354
10.12.1.0/24,10.13.10.0/24,7510
10.12.1.0/24,10.13.11.0/24,1466
10.12.1.0/24,10.13.12.0/24,1072
10.12.1.0/24,10.13.129.0/24,10469
10.12.1.0/24,10.13.13.0/24,4145
10.12.1.0/24,10.13.131.0/24,26131
10.12.1.0/24,10.13.132.0/24,21341
10.12.1.0/24,10.13.133.0/24,6113
10.12.1.0/24,10.13.134.0/24,1757
10.12.1.0/24,10.13.135.0/24,789
10.12.1.0/24,10.13.136.0/24,2454
10.12.1.0/24,10.13.137.0/24,779
10.12.1.0/24,10.13.138.0/24,7977
10.12.1.0/24,10.13.139.0/24,5447
10.12.1.0/24,10.13.14.0/24,33
10.12.1.0/24,10.13.140.0/24,3945
10.12.1.0/24,10.13.18.0/24,289
10.12.1.0/24,10.13.19.0/24,1589
10.12.1.0/24,10.13.2.0/24,39
10.12.1.0/24,10.13.24.0/24,8294
10.12.1.0/24,10.13.3.0/24,815
10.12.1.0/24,10.13.32.0/24,6232
10.12.1.0/24,10.13.4.0/24,177
10.12.1.0/24,10.13.44.0/24,515
10.12.1.0/24,10.13.5.0/24,195
10.12.1.0/24,10.13.6.0/24,1810
