IP,label,0,1,2
10.12.60.93,1,-0.0032697323409678746,3.9127742781764616e-05,-7.572905976011972e-05
10.12.60.71,1,-0.0032696693134291986,3.352065937287932e-05,-6.719998794750442e-05
10.12.88.37,1,-0.0032893381350367914,-0.00012476285023319808,4.9250022313403225e-05
10.12.45.87,1,-0.003256081104977474,0.001001868604935457,0.0017648848214379476
10.12.87.64,1,-0.0032886002633762245,0.00032973770676343497,-0.00025050933084047995
10.12.8.48,1,-0.003232113518260824,-3.886640117086901e-05,1.4976638022890105e-05
10.12.44.171,1,-0.003258305251552207,3.125038705339506e-05,-4.823540629930138e-05
10.12.52.51,1,-0.003263916074279404,7.573665499925718e-05,-9.981480528763702e-05
10.12.49.34,1,-0.003260772672866794,0.0003432480927742414,0.00017760979803600356
10.12.36.230,1,-0.0031883918368519814,-0.0001111005954557524,9.451139462481712e-05
10.12.90.48,1,-0.003290676681889441,-8.383284557119166e-05,2.9183800714946413e-05
10.12.1.56,1,-0.003195948161333685,0.001498692640846858,0.0021657682924281474
10.12.90.60,1,-0.00329070162091388,-5.4434681851140377e-05,6.497795990687524e-06
10.12.49.52,1,-0.0032615177277066994,-6.16719619761003e-05,0.0001023872494605406
10.12.28.29,1,-0.0031434015218062415,0.019115510971703116,-0.012704654049991933
10.12.44.77,1,-0.0032580986094888054,0.000320344307649469,-0.00023347388660541747
10.12.1.37,1,-0.0031679916141879655,-0.00010436201304289881,9.41309728171317e-05
10.12.16.34,1,-0.0032381555719435515,0.00035013091336004876,-0.0002934409885559699
10.12.45.149,1,-0.003259230058320536,4.765019611091327e-05,-8.206936201298375e-05
10.12.1.120,1,-0.003227602452539652,0.0002708177839329868,-0.0002273228200691001
10.12.1.37,1,-0.003167899507190056,-6.708491746865363e-05,0.00015682599476676904
10.12.87.53,1,-0.0032877949159139754,0.0011310107906295729,-0.0007600962004335656
10.12.45.100,1,-0.0032582163423882965,0.001199509619230524,-0.0008514541034330616
10.12.86.43,1,-0.003287829514135751,-0.00011194730856738761,5.516898315627932e-05
10.12.45.73,1,-0.0032589988431546172,7.985052011083101e-05,-9.822100976792363e-05
10.12.1.37,1,-0.0032266432564769373,6.701944030671283e-06,0.00014465212393450317
10.13.132.10,1,-0.0035021065145818936,-6.290593288024068e-05,6.898469994812374e-05
10.12.88.86,1,-0.003288352965965096,0.00035746881504186744,0.0003143919283727671
10.12.49.34,1,-0.003261516226334328,-6.632437888162491e-05,1.2099469028448232e-05
10.12.10.59,1,-0.0032338969967517,0.00012125264750694755,-0.00011088086543398008
10.14.32.141,1,-0.003499909511337731,0.02067453901159964,-0.012237501865469874
10.12.24.29,1,-0.0032418483732754686,0.0021559269272510215,-0.001502103214213298
10.12.1.230,1,-0.00320052512266189,-0.00010481157824162946,7.34328653528648e-05
10.12.45.81,1,-0.003258317444094978,0.00018282458873856096,0.00046386705913457313
10.12.88.197,1,-0.0032899254515479748,-1.478194909226275e-05,-3.2637153372926704e-05
10.12.88.204,1,-0.0032884194056715657,0.0015730192943581639,-0.0010309451848017738
10.12.8.32,1,-0.00323158742500973,0.0013483883151833723,-0.000962551003205166
10.12.44.130,1,-0.0032576635612551618,0.0002351234611629924,0.0005118517935800039
10.12.60.93,1,-0.0032695908031369976,-0.0001140592715851024,6.281418911205503e-05
10.14.96.183,1,-0.003658745673700404,0.0001307773241696238,8.209352647891702e-05
10.12.87.88,1,-0.003288904001585432,-7.160863865881548e-06,-3.226881253204309e-05
10.12.49.52,1,-0.003261482819945877,0.00013003728019390958,-0.00012348758918748827
10.12.48.40,1,-0.0032608221661991864,-5.340475994530759e-05,-1.1387698161978533e-06
10.12.60.61,1,-0.003269167920083328,0.0007684453657169317,-0.0005581244232258975
10.12.84.39,1,-0.0032860500365480667,-0.00011668350008137313,6.932403618425549e-05
10.12.80.87,1,-0.003227005353571879,-7.764925264629538e-05,0.0001254559405313092
10.12.48.45,1,-0.003260822124216788,0.00047434447997957125,-0.00036038745544603266
10.12.36.230,1,-0.0031883182918649063,-6.035562379135282e-05,0.00015513788889989224
10.12.20.47,1,-0.003241223035381477,-1.5408087411584253e-05,-4.5991648981715834e-05
10.12.41.48,1,-0.0032560370280017925,0.00018362127389094903,-0.00016874201319113616
10.12.88.56,1,-0.0032883632874484395,0.0014114019997253234,-0.0009418694456027965
10.12.56.36,1,-0.0032659850345456553,-1.8001255222095576e-05,0.00023849478459799428
10.12.49.42,1,-0.003261493005994122,-5.476304633998159e-05,7.962259649926482e-05
10.12.45.94,1,-0.003258746427218363,0.0003156980031117994,-0.0002414881793527288
10.12.10.103,1,-0.0032336589350770387,0.0008860735335651642,-0.0006276564929779582
10.12.45.201,1,-0.0032593525315797837,9.730592537550663e-05,-0.00011725103665744176
10.12.49.48,1,-0.003261727386510831,0.00017975170252984828,-0.00017269737113152756
10.12.72.36,1,-0.0032779585274778054,0.00028500797522839353,-0.0002280994812536412
