IP,label,0,1,2
10.12.36.35,0,-0.0032525036097471537,-0.00013864056083752785,4.110984204254052e-05
10.12.44.224,0,-0.0032581789221007066,-0.00013270294230955737,5.011470789195445e-05
10.12.44.154,0,-0.0032583098916016406,-9.632724594613171e-05,3.632805647157553e-05
10.12.44.88,0,-0.0032583320492745693,-0.00013814803499270998,4.103949301835465e-05
10.12.80.87,0,-0.0032198788157369726,-0.0001423677559651956,3.693093657102636e-05
10.12.107.73,0,-0.00330302348155419,-0.0001315954514327173,4.841716089625597e-05
10.12.88.56,0,-0.003289486365674576,-0.00013379640652686574,4.554085449531156e-05
10.12.1.56,0,-0.0032268888471678235,-0.00013934022451650465,3.3868116243127904e-05
10.12.56.36,0,-0.0032667088961519618,-0.0001369736574348709,4.2246831305759787e-05
10.12.60.40,0,-0.0032695603135449,-0.0001365784897603614,4.266092852730403e-05
10.12.44.64,0,-0.003257738806803062,-0.00013499849189582962,4.607646145651833e-05
10.12.88.174,0,-0.003289811764244023,-0.00013243502614148842,4.6777834442471144e-05
10.12.64.36,0,-0.003272103012482198,0.0002829232281483718,-0.00022622212742552582
10.12.44.130,0,-0.003258253047770928,-9.843796382103517e-05,2.4595272463375884e-05
10.12.52.48,0,-0.0032633751978391216,-0.00013421635484781925,4.6829725958006696e-05
10.12.10.103,0,-0.003234228991928054,-0.00014121202562053598,3.8482700494376556e-05
10.12.200.1,0,-0.003224807821216515,-0.00013367634171875312,2.8081436889335145e-05
10.12.52.34,0,-0.0032638624155200088,-0.00013707334319505019,4.2764056128132936e-05
10.12.1.56,0,-0.0031970893651744135,-0.0001373699879866036,2.4125393812074324e-05
10.12.86.22,0,-0.0032874473474756444,-0.00013194267887205164,4.7504100211476485e-05
10.12.88.191,0,-0.003289336187646348,-0.00013169585157188937,4.7771470643323664e-05
10.12.48.42,0,-0.003261044831318105,-0.00013775513866191183,4.142191856788201e-05
10.12.1.37,0,-0.0031963582475531705,-0.00014796665006605345,3.093755341895084e-05
10.12.36.41,0,-0.0032525202602094443,-0.000138658775716625,4.1126215582869806e-05
10.12.1.230,0,-0.0032273260877131076,-0.00013545910071427358,4.113578183443607e-05
10.12.44.113,0,-0.0032584013947763893,-0.00013813834169140425,4.104950678678955e-05
10.12.88.204,0,-0.0032893727248299105,-0.0001320304065318274,4.764275752206633e-05
10.12.20.54,0,-0.0032406707309582377,-0.0001382952593216439,4.0489334205180564e-05
10.12.44.234,0,-0.0032587364330634683,-0.0001377864482678495,4.202151360862102e-05
10.12.88.182,0,-0.0032893112073780193,-0.00013166163276351627,4.775077791888457e-05
10.12.36.41,0,-0.0032519941510320187,-0.00013574316019713872,4.52244202548783e-05
10.12.20.49,0,-0.0032406544594101435,-0.00013738293166863644,4.3624300297743284e-05
10.12.36.41,0,-0.0032525839269053306,-5.398303401013463e-05,-1.617412672502097e-05
10.12.88.57,0,-0.003289571450501125,-9.986090683396565e-05,2.4313007703385173e-05
10.12.44.99,0,-0.00325841300704023,-2.9356610333577804e-05,-2.847910868009247e-05
10.12.3.18,0,-0.003227701396311853,-0.0001405902589612377,3.618485376033025e-05
10.12.44.40,0,-0.0032274986370880534,-0.00014353180680000307,3.545926134537386e-05
10.12.80.87,0,-0.003219948171971935,-0.00014239914244714778,3.696888650232715e-05
10.12.8.50,0,-0.0032324518959717763,0.0002924355045903258,-0.0002455422402441079
10.12.45.42,0,-0.003258903518971703,-0.00013582035131515192,4.086811007877663e-05
10.12.36.35,0,-0.0032525036158255085,-0.000138657678551612,4.1121483927455056e-05
10.12.20.49,0,-0.0032410878503590767,7.845904332531724e-05,-0.00010524160335879086
10.12.1.230,0,-0.0032005639975142834,-0.00013317054912907018,3.7419471857193376e-05
10.12.42.40,0,-0.0032567787056145027,-0.00013836174129704264,4.081285636161332e-05
10.12.92.22,0,-0.0032917057338186528,-0.00013023088879770888,5.012248250765982e-05
10.12.28.60,0,-0.0032463694540874636,-0.00013879384233903003,4.125649948038818e-05
10.12.42.38,0,-0.0032567674789776677,-0.00013442574350458803,4.4388332420192985e-05
10.12.1.37,0,-0.0030806767344401225,-0.00014306688081106535,1.651723463582613e-05
10.12.88.39,0,-0.003289439208385415,-0.0001337858810716337,4.5522403564562636e-05
10.12.1.56,0,-0.0031665034903438083,-0.0001213099387353483,5.763723638140071e-06
10.12.90.12,0,-0.0032907844036955025,-0.00013360125044007616,4.5719003138722484e-05
10.12.44.146,0,-0.003258492932035434,-0.00013812897005375214,4.106505332404715e-05
10.12.80.87,0,-0.003227501386553585,-0.00014168024853189622,3.7911763275791235e-05
10.12.52.30,0,-0.003227631784275983,-0.00014351461832291668,3.5478096617773333e-05
10.12.45.70,0,-0.003227714216948002,-0.00011619854540852143,8.245609369087754e-05
10.12.90.55,0,-0.003290379040178082,-0.00013150893199535675,4.7902662229854466e-05
10.12.2.30,0,-0.0032148487876249034,-0.00014507110756285598,3.413695933333439e-05
10.12.48.37,0,-0.003261030968390322,-0.0001377741948834281,4.1431557589214374e-05
10.12.16.38,0,-0.0032382071511265695,0.00028302333612713294,-0.00024840166534643044
10.12.88.56,0,-0.003288959831956609,-0.00013056782647829517,4.9740118966488334e-05
10.12.32.37,0,-0.003249559541697632,7.679959983108921e-05,-8.228570843540072e-05
10.12.88.201,0,-0.003289879035393084,-0.00012718593587325125,5.156388308482691e-05
10.12.44.77,0,-0.003257497338354712,0.0002764103289363295,-4.3229022336756076e-06
10.12.1.56,0,-0.0031654983959994018,-0.00014176462718038082,1.9550886981701375e-05
10.12.60.31,0,-0.0032695347561129307,-0.0001362770050581251,4.358085305436862e-05
10.12.44.171,0,-0.0032581539564953375,0.00030029975879507383,-0.00020370066468297437
10.12.44.165,0,-0.0032585456333806676,-0.00013811817962315932,4.107033542672404e-05
10.12.48.37,0,-0.003261030967174685,-0.00013777077137185021,4.1429229233440314e-05
10.12.41.199,0,-0.0032564155522921932,8.367183737056825e-05,-0.00010712729086367236
10.12.1.56,0,-0.003171643120480225,-0.00012022178073038658,6.2541551577701216e-06
10.12.88.44,0,-0.003288831134138029,-7.172641298200588e-05,0.0001449573815978552
10.12.44.178,0,-0.0032585816930235383,-0.00013811313910576308,4.107554258705641e-05
10.12.1.230,0,-0.00322319622765204,-0.0001442191327390293,3.48148224518984e-05
10.12.200.1,0,-0.003224813367587559,-0.00013367556644578878,2.8082237687028232e-05
