,markets,count
0,1mobile,30050
1,1mobile|PlayDrone,41
2,1mobile|PlayDrone|VirusShare|appchina|angeeks|google play,1
3,1mobile|PlayDrone|VirusShare|google play,2
4,1mobile|PlayDrone|angeeks|appchina|google play,2
5,1mobile|PlayDrone|angeeks|google play,16
6,1mobile|PlayDrone|angeeks|google play|proandroid|appchina,1
7,1mobile|PlayDrone|anzhi|google play,4
8,1mobile|PlayDrone|anzhi|google play|appchina,1
9,1mobile|PlayDrone|appchina|google play,31
10,1mobile|PlayDrone|appchina|google play|VirusShare|angeeks|anzhi,1
11,1mobile|PlayDrone|appchina|google play|anzhi,2
12,1mobile|PlayDrone|appchina|google play|proandroid,1
13,1mobile|PlayDrone|appchina|proandroid|google play,2
14,1mobile|PlayDrone|appchina|slideme|google play,1
15,1mobile|PlayDrone|freewarelovers|appchina|google play,1
16,1mobile|PlayDrone|freewarelovers|google play,4
17,1mobile|PlayDrone|google play,2114
18,1mobile|PlayDrone|google play|VirusShare,1
19,1mobile|PlayDrone|google play|angeeks,17
20,1mobile|PlayDrone|google play|angeeks|appchina,2
21,1mobile|PlayDrone|google play|anzhi,4
22,1mobile|PlayDrone|google play|appchina,34
23,1mobile|PlayDrone|google play|appchina|angeeks,1
24,1mobile|PlayDrone|google play|appchina|proandroid,1
25,1mobile|PlayDrone|google play|freewarelovers,1
26,1mobile|PlayDrone|google play|slideme,7
27,1mobile|PlayDrone|google play|slideme|angeeks,1
28,1mobile|PlayDrone|proandroid|google play,1
29,1mobile|PlayDrone|proandroid|google play|slideme,1
30,1mobile|VirusShare,65
31,1mobile|VirusShare|PlayDrone|google play,1
32,1mobile|VirusShare|appchina,2
33,1mobile|VirusShare|google play,4
34,1mobile|VirusShare|google play|angeeks|appchina,1
35,1mobile|VirusShare|proandroid|PlayDrone|appchina|google play,1
36,1mobile|VirusShare|proandroid|appchina,1
37,1mobile|VirusShare|slideme|angeeks,1
38,1mobile|angeeks,152
39,1mobile|angeeks|PlayDrone|appchina|google play,2
40,1mobile|angeeks|PlayDrone|google play,15
41,1mobile|angeeks|PlayDrone|google play|appchina,1
42,1mobile|angeeks|anzhi,1
43,1mobile|angeeks|anzhi|google play,1
44,1mobile|angeeks|anzhi|slideme,1
45,1mobile|angeeks|appchina,6
46,1mobile|angeeks|appchina|PlayDrone|google play,1
47,1mobile|angeeks|appchina|google play,5
48,1mobile|angeeks|appchina|google play|hiapk|PlayDrone,1
49,1mobile|angeeks|freewarelovers,1
50,1mobile|angeeks|google play,12
51,1mobile|angeeks|google play|PlayDrone,12
52,1mobile|angeeks|google play|PlayDrone|appchina,1
53,1mobile|angeeks|google play|anzhi|PlayDrone|appchina,1
54,1mobile|angeeks|google play|appchina|PlayDrone,1
55,1mobile|angeeks|proandroid,1
56,1mobile|angeeks|slideme,5
57,1mobile|angeeks|slideme|proandroid,1
58,1mobile|angeeks|torrents,1
59,1mobile|anzhi,33
60,1mobile|anzhi|PlayDrone|google play,5
61,1mobile|anzhi|angeeks,1
62,1mobile|anzhi|appchina|PlayDrone|google play,3
63,1mobile|anzhi|appchina|VirusShare,1
64,1mobile|anzhi|appchina|google play,2
65,1mobile|anzhi|appchina|google play|PlayDrone,1
66,1mobile|anzhi|google play,5
67,1mobile|anzhi|google play|PlayDrone,2
68,1mobile|anzhi|google play|angeeks,1
69,1mobile|anzhi|google play|appchina,1
70,1mobile|anzhi|google play|appchina|PlayDrone,1
71,1mobile|anzhi|torrents|appchina,1
72,1mobile|appchina,373
73,1mobile|appchina|PlayDrone|angeeks|google play|anzhi,1
74,1mobile|appchina|PlayDrone|anzhi|google play,1
75,1mobile|appchina|PlayDrone|apk_bang|anzhi|google play,1
76,1mobile|appchina|PlayDrone|google play,29
77,1mobile|appchina|PlayDrone|google play|angeeks,1
78,1mobile|appchina|PlayDrone|google play|anzhi,1
79,1mobile|appchina|VirusShare,2
80,1mobile|appchina|VirusShare|google play|PlayDrone,1
81,1mobile|appchina|angeeks,8
82,1mobile|appchina|angeeks|google play,1
83,1mobile|appchina|anzhi,5
84,1mobile|appchina|anzhi|angeeks|google play,1
85,1mobile|appchina|anzhi|google play,2
86,1mobile|appchina|anzhi|google play|PlayDrone,2
87,1mobile|appchina|mi.com|anzhi,1
88,1mobile|appchina|google play,111
89,1mobile|appchina|google play|PlayDrone,26
90,1mobile|appchina|google play|PlayDrone|proandroid,1
91,1mobile|appchina|google play|VirusShare,1
92,1mobile|appchina|google play|angeeks|anzhi|PlayDrone,1
93,1mobile|appchina|google play|anzhi,2
94,1mobile|appchina|google play|anzhi|PlayDrone,1
95,1mobile|appchina|google play|freewarelovers,1
96,1mobile|appchina|google play|proandroid,3
97,1mobile|appchina|proandroid,2
98,1mobile|appchina|proandroid|google play,3
99,1mobile|appchina|proandroid|google play|slideme,1
100,1mobile|appchina|slideme,1
