,date,unknow,malware,benign,all
0,1980,457724,209011,2680862,3347597
1,1981,224,8,218,450
2,1982,0,0,0,0
3,1983,0,0,0,0
4,1984,0,0,0,0
5,1985,116,109,487,712
6,1986,0,0,0,0
7,1987,0,0,0,0
8,1988,0,1,8,9
9,1989,0,0,0,0
10,1990,0,0,0,0
11,1991,0,0,0,0
12,1992,0,0,1,1
13,1993,0,0,0,0
14,1994,0,0,0,0
15,1995,0,0,0,0
16,1996,0,0,0,0
17,1997,0,0,1,1
18,1998,0,0,0,0
19,1999,1,0,2,3
20,2000,4,1,7,12
21,2001,329,19,127,475
22,2002,5,60,59,124
23,2003,0,8,19,27
24,2004,2,16,20,38
25,2005,0,7,23,30
26,2006,8,44,111,163
27,2007,0,23,41,64
28,2008,3650,14074,27597,45321
29,2009,936,548,10661,12145
30,2010,324,10361,50424,61109
31,2011,277,84390,134783,219450
32,2012,3433,266840,298167,568440
33,2013,11769,280396,487752,779917
34,2014,39843,514480,1233217,1787540
35,2015,24583,234614,613621,872818
36,2016,77391,327663,1063433,1468487
37,2017,48469,117349,239004,404822
38,2018,99407,135598,257045,492050
39,2019,79326,45474,96709,221509
40,2020,1,0,0,1
41,2021,0,0,0,0
42,2022,0,1,0,1
43,2023,5,13,3,21
44,2024,0,0,0,0
45,2025,0,0,1,1
46,2026,0,1,0,1
47,2027,0,1,0,1
48,2028,1,1,0,2
49,2029,0,0,0,0
50,2030,1,0,0,1
51,2031,0,0,0,0
52,2032,1,1,0,2
53,2033,0,0,0,0
54,2034,1,0,0,1
55,2035,0,0,0,0
56,2036,0,0,0,0
57,2037,0,1,0,1
58,2038,0,0,0,0
59,2039,1,1,0,2
60,2040,0,0,0,0
61,2041,0,0,0,0
62,2042,0,0,1,1
63,2043,1,0,17,18
64,2044,2,1,19,22
65,2045,8,2,67,77
66,2046,6,1,43,50
67,2047,4,7,34,45
68,2048,1,0,1,2
69,2049,0,0,1,1
70,2050,6,0,4,10
71,2051,0,0,0,0
72,2052,0,0,0,0
73,2053,0,0,0,0
74,2054,0,0,0,0
75,2055,0,0,0,0
76,2056,0,1,0,1
77,2057,0,0,0,0
78,2058,0,0,11,11
79,2059,0,0,6,6
80,2060,0,0,0,0
81,2061,0,0,0,0
82,2062,0,0,0,0
83,2063,0,0,0,0
84,2064,0,0,0,0
85,2065,0,0,0,0
86,2066,0,0,0,0
87,2067,0,0,0,0
88,2068,0,0,1,1
89,2069,0,0,0,0
90,2070,0,0,0,0
91,2071,0,0,0,0
92,2072,0,0,0,0
93,2073,0,0,0,0
94,2074,0,0,0,0
95,2075,0,0,0,0
96,2076,0,2,0,2
97,2077,0,0,0,0
98,2078,2,0,0,2
99,2079,0,0,0,0
100,2080,0,0,0,0
101,2081,0,1,0,1
102,2082,0,0,0,0
103,2083,0,0,0,0
104,2084,2,0,8,10
105,2085,0,0,0,0
106,2086,0,0,0,0
107,2087,0,0,0,0
108,2088,0,0,0,0
109,2089,0,0,0,0
110,2090,0,1,0,1
111,2091,0,0,0,0
112,2092,7,102,21,130
113,2093,0,0,0,0
114,2094,0,0,0,0
115,2095,0,0,0,0
116,2096,0,0,0,0
117,2097,0,0,0,0
118,2098,0,3,0,3
119,2099,0,2,0,2
120,2100,0,0,0,0
121,2101,0,0,0,0
122,2102,0,0,0,0
123,2103,0,0,0,0
124,2104,0,0,0,0
125,2105,0,0,0,0
126,2106,0,0,0,0
127,2107,28,143,283,454
