,markets,count
0,google play,6712339
1,anzhi,971759
2,appchina,677448
3,google play|PlayDrone,634288
4,PlayDrone|google play,621425
5,PlayDrone,146635
6,VirusShare,105701
7,mi.com,94978
8,slideme,45569
9,angeeks,43237
10,1mobile,30050
11,fdroid,18212
12,google play|appchina,16183
13,appchina|google play,15787
14,appchina|anzhi,14783
15,anzhi|appchina,14629
16,praguard,10183
17,mi.com|anzhi,5381
18,anzhi|mi.com,5353
19,1mobile|google play,5049
20,google play|1mobile,5046
21,torrents,4647
22,freewarelovers,3166
23,1mobile|google play|PlayDrone,2185
24,PlayDrone|google play|1mobile,2159
25,google play|1mobile|PlayDrone,2143
26,1mobile|PlayDrone|google play,2114
27,google play|PlayDrone|1mobile,2084
28,proandroid,2082
29,PlayDrone|1mobile|google play,2050
30,appchina|google play|PlayDrone,2003
31,PlayDrone|appchina|google play,1974
32,google play|appchina|PlayDrone,1962
33,appchina|PlayDrone|google play,1946
34,google play|PlayDrone|appchina,1923
35,PlayDrone|google play|appchina,1866
36,VirusShare|appchina,1849
37,appchina|VirusShare,1776
38,anzhi|google play,1772
39,google play|anzhi,1686
40,angeeks|appchina,1652
41,appchina|angeeks,1622
42,hiapk,1460
43,anzhi|VirusShare,1416
44,mi.com|appchina,1373
45,appchina|mi.com,1356
46,VirusShare|anzhi,1331
47,anzhi|PlayDrone|google play,1087
48,anzhi|google play|PlayDrone,1079
49,google play|anzhi|PlayDrone,1056
50,genome,1005
51,PlayDrone|google play|anzhi,997
52,PlayDrone|anzhi|google play,980
53,google play|PlayDrone|anzhi,970
54,google play|mi.com,895
55,mi.com|google play,862
56,google play|slideme,827
57,slideme|google play,785
58,anzhi|angeeks,607
59,google play|angeeks|PlayDrone,582
60,angeeks|anzhi,566
61,PlayDrone|angeeks|google play,550
62,PlayDrone|google play|angeeks,531
63,angeeks|google play|PlayDrone,525
64,google play|PlayDrone|angeeks,524
65,angeeks|PlayDrone|google play,507
66,slideme|google play|PlayDrone,476
67,VirusShare|google play,467
68,google play|VirusShare,463
69,slideme|PlayDrone|google play,463
70,PlayDrone|slideme|google play,445
71,PlayDrone|google play|slideme,442
72,google play|slideme|PlayDrone,434
73,google play|PlayDrone|slideme,429
74,google play|angeeks,422
75,angeeks|google play,419
76,1mobile|appchina,373
77,appchina|1mobile,338
78,slideme|appchina,282
79,appchina|slideme,270
80,apk_bang,269
81,appchina|PlayDrone,261
82,PlayDrone|appchina,251
83,anzhi|mi.com|appchina,217
84,hiapk|appchina,203
85,appchina|mi.com|anzhi,202
86,anzhi|appchina|mi.com,198
87,appchina|anzhi|mi.com,197
88,mi.com|appchina|anzhi,196
89,mi.com|anzhi|appchina,185
90,appchina|hiapk,179
91,anzhi|google play|appchina,165
92,unknown,162
93,mi.com|VirusShare,154
94,appchina|google play|anzhi,152
95,1mobile|angeeks,152
96,google play|anzhi|appchina,152
97,angeeks|1mobile,151
98,VirusShare|mi.com,147
99,anzhi|appchina|google play,147
100,appchina|anzhi|google play,144
101,angeeks|VirusShare,143
102,angeeks|anzhi|appchina,135
103,google play|appchina|anzhi,132
104,VirusShare|angeeks,124
105,angeeks|freewarelovers,124
106,proandroid|slideme,123
107,appchina|angeeks|anzhi,120
108,slideme|proandroid,118
109,slideme|1mobile,116
110,proandroid|google play,113
111,freewarelovers|angeeks,113
112,1mobile|appchina|google play,111
113,angeeks|appchina|anzhi,110
114,appchina|google play|1mobile,109
115,PlayDrone|VirusShare|google play,108
116,anzhi|appchina|angeeks,108
117,google play|appchina|1mobile,107
118,google play|1mobile|appchina,106
119,appchina|anzhi|angeeks,106
120,appchina|1mobile|google play,103
121,VirusShare|PlayDrone|google play,102
122,google play|proandroid,101
123,anzhi|angeeks|appchina,99
124,VirusShare|google play|PlayDrone,98
125,VirusShare|genome,98
